instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_qcv_045,period_1,1,40,311288.4,304651.71,0.0,2.46,137.46,3309.24,3187.61,0.0,0,0,0,0.0,0.0,0.0,304651.71,0,0.0,0.0
bf_qcv_045,period_2,2,35,279688.8,273770.48,0.0,1.59,121.76,2961.18,2833.82,0.0,0,0,0,0.0,0.0,0.0,273770.48,0,0.0,0.0
bf_qcv_045,period_3,3,44,347778.44,340432.19,0.0,0.96,150.76,3615.36,3579.17,0.0,0,0,0,0.0,0.0,0.0,340432.19,0,0.0,0.0
bf_qcv_045,period_4,4,30,235996.37,230663.87,0.0,1.0,103.04,2812.34,2416.01,0.0,0,0,0,0.0,0.0,0.0,230663.87,0,0.0,0.0
bf_qcv_045,period_5,5,49,375655.9,368364.61,0.0,2.2,170.11,3287.2,3831.77,0.0,0,0,0,0.0,0.0,0.0,368364.61,0,0.0,0.0
bf_sae1006_045,period_1,1,49,396906.81,382001.42,3039.41,7.93,164.38,7746.57,3946.95,0.0,0,0,0,0.0,0.0,0.0,382001.42,6,4623.65,770.61
bf_sae1006_045,period_2,2,49,392112.55,379884.58,1319.1,1.95,161.6,6749.68,3995.47,0.0,0,6,6,4623.65,4432.11,191.54,384316.69,6,1319.1,219.85
bf_sae1006_045,period_3,3,55,438729.69,426423.3,531.02,7.38,186.05,7138.32,4443.47,0.0,0,6,6,1319.1,1304.77,14.33,427728.07,6,531.01,88.5
bf_sae1006_045,period_4,4,37,299629.81,289802.19,1428.32,6.66,126.91,5347.87,2917.83,0.0,0,6,6,531.01,518.21,12.8,290320.4,5,1428.31,285.66
bf_sae1006_045,period_5,5,60,486336.18,471032.43,1724.25,9.0,201.75,8341.35,5027.23,0.0,0,5,5,1428.31,1417.25,11.06,472449.68,5,1724.25,344.85
bf_sae1006_050,period_1,1,4,34397.98,27000.0,727.78,0.0,15.15,6368.41,286.64,0.0,0,0,0,0.0,0.0,0.0,27000.0,6,7096.19,1182.7
bf_sae1006_050,period_2,2,3,25477.17,19232.79,412.65,0.0,10.95,5608.46,212.3,0.0,0,6,6,7096.19,6644.28,451.91,25877.07,5,6021.11,1204.22
bf_sae1006_050,period_3,3,4,34397.98,23749.91,2678.18,0.0,14.35,7668.91,286.64,0.0,0,5,5,6021.11,5670.12,350.99,29420.03,8,10347.09,1293.39
bf_sae1006_050,period_4,4,2,16573.83,13621.0,1162.71,0.0,8.44,1643.57,138.11,0.0,0,8,8,10347.09,9952.98,394.11,23573.98,8,2806.28,350.78
bf_sae1006_050,period_5,5,4,35635.77,34399.54,519.83,0.0,18.52,400.9,296.96,0.0,0,8,8,2806.28,2611.4,194.88,37010.94,2,519.83,259.92
bz_nbr7008_043,period_1,1,20,154160.5,141553.77,988.63,14.99,65.91,10072.65,1464.55,0.0,0,0,0,0.0,0.0,0.0,141553.77,12,8023.31,668.61
bz_nbr7008_043,period_2,2,19,144888.57,129336.86,1128.79,1.38,59.05,12946.39,1416.1,0.0,0,12,11,8023.31,2390.64,5632.67,131727.5,15,12393.75,826.25
bz_nbr7008_043,period_3,3,20,152561.93,141009.31,352.31,0.71,64.54,9660.83,1474.21,0.0,0,15,13,12393.75,3509.16,8884.59,144518.47,11,6557.08,596.1
bz_nbr7008_043,period_4,4,16,123163.17,111904.43,637.31,12.57,52.36,9396.69,1159.81,0.0,0,11,8,6557.08,2205.44,4351.64,114109.87,11,7854.06,714.01
bz_nbr7008_043,period_5,5,24,193337.95,176834.1,450.55,0.0,77.32,14114.22,1861.72,0.0,0,11,9,7854.06,3754.99,4099.07,180589.09,15,11716.77,781.12
bz_nbr7008_075,period_1,1,6,40203.19,35966.97,2068.73,0.0,33.55,1731.91,402.04,0.0,0,0,0,0.0,0.0,0.0,35966.97,10,3774.38,377.44
bz_nbr7008_075,period_2,2,5,33913.96,28888.42,2798.22,5.82,27.61,1854.74,339.14,0.0,0,10,10,3774.38,2211.2,1563.18,31099.62,7,4631.24,661.61
bz_nbr7008_075,period_3,3,6,40058.91,32645.0,4701.2,0.0,33.1,2279.0,400.6,0.0,0,7,7,4631.24,3695.35,935.89,36340.35,12,6962.01,580.17
bz_nbr7008_075,period_4,4,5,32807.3,25169.64,5443.53,0.0,27.61,1838.45,328.08,0.0,0,12,11,6962.01,4076.78,2885.23,29246.42,8,7262.76,907.85
bz_nbr7008_075,period_5,5,6,41313.76,35344.45,2909.03,0.0,32.65,2614.5,413.14,0.0,0,8,8,7262.76,6301.44,961.32,41645.89,8,5492.62,686.58
bz_nbr7008_095,period_1,1,6,58222.11,54118.13,174.22,0.0,42.07,3305.47,582.22,0.0,0,0,0,0.0,0.0,0.0,54118.13,6,3335.68,555.95
bz_nbr7008_095,period_2,2,6,56058.86,49248.67,3150.69,0.0,41.92,3056.98,560.59,0.0,0,6,6,3335.68,2496.26,839.42,51744.93,7,6073.01,867.57
bz_nbr7008_095,period_3,3,7,66163.44,60724.46,1721.81,0.0,49.5,3006.03,661.64,0.0,0,7,7,6073.01,5054.16,1018.85,65778.62,6,4254.35,709.06
bz_nbr7008_095,period_4,4,5,45979.57,43382.44,503.74,0.0,35.64,1597.93,459.8,0.0,0,6,6,4254.35,3829.54,424.81,47211.98,5,1564.22,312.84
bz_nbr7008_095,period_5,5,6,61459.35,59080.44,656.79,0.0,43.56,1063.93,614.59,0.0,0,5,5,1564.22,1419.8,144.42,60500.24,4,656.79,164.2
