instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1612388.33,1577701.91,59.38,8.26,708.19,17328.57,16582.0,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1444274.38,1413454.5,0.0,15.67,624.88,15477.89,14701.41,0.0,1,1,59.38,51.43,7.95
bf_qcv_045,period_3,3,44,1802345.45,1764000.6,0.0,10.31,776.64,18929.39,18628.79,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_4,4,30,1224856.59,1196977.35,0.0,6.58,531.79,14752.9,12588.4,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_5,5,48,1943980.75,1903122.47,0.0,50.09,855.27,20062.06,19890.89,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_1,1,48,2016458.68,1954150.22,939.65,70.68,825.34,35969.61,19848.92,4653.74,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,51,2029849.16,1958070.57,4424.85,60.32,890.02,42005.43,19911.66,4486.0,5,5,5593.39,5053.71,539.68
bf_sae1006_045,period_3,3,53,2239799.73,2178276.21,1164.53,57.36,907.64,37022.54,22370.88,0.0,5,5,8910.85,7855.15,1055.7
bf_sae1006_045,period_4,4,36,1532451.75,1480976.19,8539.35,16.0,629.27,27427.37,14863.33,0.0,2,2,1164.53,1146.97,17.56
bf_sae1006_045,period_5,5,60,2491133.18,2410622.5,7297.49,32.64,1026.0,42650.52,25378.48,4124.64,5,5,8539.35,8496.46,42.89
bf_sae1006_050,period_1,1,4,177663.5,139453.38,49.07,0.0,86.98,15851.2,1306.21,20916.66,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,99414.25,3499.2,0.0,65.39,11442.1,961.51,16205.62,7,7,36816.93,34239.21,2577.72
bf_sae1006_050,period_3,3,3,131588.05,122484.23,2414.45,0.0,69.62,5523.23,1096.52,0.0,6,6,31146.91,29468.51,1678.4
bf_sae1006_050,period_4,4,3,131588.05,115313.95,1794.09,0.0,65.18,13318.26,1096.52,0.0,3,3,6974.63,6444.24,530.39
bf_sae1006_050,period_5,5,4,188200.81,177813.75,6605.8,0.0,95.65,2117.26,1568.28,0.0,5,5,15112.36,13345.53,1766.82
bz_nbr7008_043,period_1,1,18,857241.75,809791.11,9620.31,7.66,339.32,29102.4,8380.78,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,18,806853.64,746263.44,8702.89,24.21,343.43,36153.82,7709.79,7655.89,9,9,9620.31,9291.52,328.78
bz_nbr7008_043,period_3,3,19,863281.85,811968.42,5504.93,59.3,372.62,32377.6,8091.36,4907.33,9,9,25139.15,21205.72,3933.43
bz_nbr7008_043,period_4,4,14,698182.79,649938.29,9256.51,6.14,280.81,32189.76,6511.47,0.0,8,8,10412.26,9872.29,539.97
bz_nbr7008_043,period_5,5,23,1092490.6,1029568.67,3658.35,11.57,456.17,48559.93,10235.85,0.0,9,9,14926.12,13785.36,1140.76
bz_nbr7008_075,period_1,1,6,215298.54,192612.53,3653.41,0.0,179.67,8804.26,2073.29,7975.54,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,179048.78,153442.87,0.0,33.2,149.25,6250.61,1614.93,17557.81,11,11,20292.63,13103.73,7188.9
bz_nbr7008_075,period_3,3,5,187330.58,175274.13,3169.19,37.33,150.48,6826.03,1873.32,0.0,5,5,23651.56,19337.84,4313.72
bz_nbr7008_075,period_4,4,5,180099.48,150436.59,17226.16,0.0,147.86,10487.85,1801.03,0.0,6,6,9836.22,6185.59,3650.63
bz_nbr7008_075,period_5,5,6,230211.7,201202.26,18145.28,0.0,180.53,8381.52,2302.12,0.0,7,7,27614.29,21822.26,5792.04
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,4040.66,0.0,235.77,5359.84,3056.09,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,303415.78,276074.52,1363.61,0.0,235.77,5149.08,2856.8,17735.9,4,4,4040.66,3992.33,48.33
bz_nbr7008_095,period_3,3,7,358106.31,337251.76,5784.34,0.0,271.54,11217.46,3581.09,0.0,4,4,19099.51,18771.78,327.72
bz_nbr7008_095,period_4,4,5,254454.59,244415.85,3772.48,0.0,197.34,3524.37,2544.61,0.0,4,4,13659.67,11116.79,2542.88
bz_nbr7008_095,period_5,5,6,336635.83,323773.73,3477.12,0.0,235.77,5782.77,3366.33,0.0,7,7,3772.53,3680.84,91.69
